['Deep Learning and Its Applications in Biomedicine']	['A survey on deep learning in medicine: Why, how and when?']	['Information Fusion']	['66']	[',\npp.\n111-137\n']	[]	['2021']	[]
['Genome-wide MicroRNA Expression Profiles in COPD: Early Predictors for Cancer Development']	['Analysis of miRNAs with the aid of dried blood spots | [Untersuchung von miRNAs mithilfe getrockneter Blutstropfen]']	['BioSpektrum']	['26']	['(2)']	[',\npp.\n174-176\n']	['2020']	[]
['Genome-wide MicroRNA Expression Profiles in COPD: Early Predictors for Cancer Development']	['Differential expression of matrix metalloproteinases and miRNAs in the metastasis of oral squamous cell carcinoma']	['BMC Oral Health']	['20']	['(1)']	[',24']	['2020']	['\n1\n']
['Genome-wide MicroRNA Expression Profiles in COPD: Early Predictors for Cancer Development']	['A meta-analysis of microRNAs expressed in human aerodigestive epithelial cultures and their role as potential biomarkers of exposure response to nicotine-containing products']	['Toxicology Reports']	['7']	[',\npp.\n1282-1295\n']	[]	['2020']	[]
['Genome-wide MicroRNA Expression Profiles in COPD: Early Predictors for Cancer Development']	['Chronic obstructive pulmonary disease (COPD) and lung cancer: Common pathways for pathogenesis']	['Journal of Thoracic Disease']	['11']	[',\npp.\nS2155-S2172\n']	[]	['2019']	['\n4\n']
['Genome-wide MicroRNA Expression Profiles in COPD: Early Predictors for Cancer Development']	['Molecular links between COPD and lung cancer: new targets for drug discovery?']	['Expert Opinion on Therapeutic Targets']	['23']	['(6)']	[',\npp.\n539-553\n']	['2019']	['\n6\n']
['Genome-wide MicroRNA Expression Profiles in COPD: Early Predictors for Cancer Development']	['Association between chronic obstructive pulmonary disease and PM2.5 in Taiwanese nonsmokers']	['International Journal of Hygiene and Environmental Health']	['222']	['(5)']	[',\npp.\n884-888\n']	['2019']	['\n3\n']
['Genome-wide MicroRNA Expression Profiles in COPD: Early Predictors for Cancer Development']	['Neoantigens in Chronic Obstructive Pulmonary Disease and Lung Cancer: A Point of View']	['Proteomics - Clinical Applications']	['13']	['(2)']	[',1800093']	['2019']	[]
['Genome-wide MicroRNA Expression Profiles in COPD: Early Predictors for Cancer Development']	['The sncRNA zoo: A repository for circulating small noncoding RNAs in animals']	['Nucleic Acids Research']	['47']	['(9)']	[',\npp.\n4431-4441\n']	['2019']	['\n2\n']
['Genome-wide MicroRNA Expression Profiles in COPD: Early Predictors for Cancer Development']	['How close are miRNAs from clinical practice? A perspective on the diagnostic and therapeutic market']	['Electronic Journal of the International Federation of Clinical Chemistry and Laboratory Medicine']	['30']	['(2)']	[',\npp.\n114-127\n']	['2019']	['\n35\n']
['Genome-wide MicroRNA Expression Profiles in COPD: Early Predictors for Cancer Development']	['Expert Workshop COPD: Lungs and Heart - Quite Often Ill Together | [Expertentreffen COPD: Lunge und Herz - ziemlich oft gemeinsam krank!', ']']	['Pneumologie']	['73']	['(11)']	[',\npp.\n651-669\n']	['2019']	[]
['Correlation of Gut Microbiome Between ASD Children and Mothers and Potential Biomarkers for Risk Assessment']	['Gastrointestinal alterations in autism spectrum disorder: What do we know?']	['Neuroscience and Biobehavioral Reviews']	['118']	[',\npp.\n111-120\n']	[]	['2020']	['\n1\n']
['Correlation of Gut Microbiome Between ASD Children and Mothers and Potential Biomarkers for Risk Assessment']	['Altered gut microbial profile is associated with abnormal metabolism activity of Autism Spectrum Disorder']	['Gut Microbes']	['11']	['(5)']	[',\npp.\n1246-1267\n']	['2020']	['\n2\n']
['Correlation of Gut Microbiome Between ASD Children and Mothers and Potential Biomarkers for Risk Assessment']	['Gut microbiota profiles of autism spectrum disorder and attention deficit/hyperactivity disorder: A systematic literature review.']	['Gut Microbes']	['11']	['(5)']	[',\npp.\n1172-1187\n']	['2020']	['\n2\n']
['Correlation of Gut Microbiome Between ASD Children and Mothers and Potential Biomarkers for Risk Assessment']	['Digital phenotyping of autism spectrum disorders based on color information: brief review and opinion']	['Artificial Life and Robotics']	['25']	['(3)']	[',\npp.\n329-334\n']	['2020']	[]
['Correlation of Gut Microbiome Between ASD Children and Mothers and Potential Biomarkers for Risk Assessment']	['Probiotics and fructo-oligosaccharide intervention modulate the microbiota-gut brain axis to improve autism spectrum reducing also the hyper-serotonergic state and the dopamine metabolism disorder']	['Pharmacological Research']	['157']	[',104784']	[]	['2020']	['\n3\n']
['Correlation of Gut Microbiome Between ASD Children and Mothers and Potential Biomarkers for Risk Assessment']	['Brain opioid activity and oxidative injury: Different molecular scenarios connecting celiac disease and autistic spectrum disorder']	['Brain Sciences']	['10']	['(7)']	[',437']	['2020']	[]
['Correlation of Gut Microbiome Between ASD Children and Mothers and Potential Biomarkers for Risk Assessment']	['Autism Spectrum Disorder and the Gut Microbiota in Children: A Systematic Review']	['Annals of Nutrition and Metabolism']	['76']	['(1)']	[',\npp.\n16-29\n']	['2020']	['\n5\n']
['Correlation of Gut Microbiome Between ASD Children and Mothers and Potential Biomarkers for Risk Assessment']	['Gut Microbiome and Sex Bias in Autism Spectrum Disorders']	[]	['7']	['(1)']	[',\npp.\n22-31\n']	['2020']	[]
['Correlation of Gut Microbiome Between ASD Children and Mothers and Potential Biomarkers for Risk Assessment']	['Healthy gut, healthy brain: The gut microbiome in neurodegenerative disorders']	['Current Topics in Medicinal Chemistry']	['20']	['(13)']	[',\npp.\n1142-1153\n']	['2020']	['\n2\n']
['Correlation of Gut Microbiome Between ASD Children and Mothers and Potential Biomarkers for Risk Assessment']	['Multiple risk factors: A challenge in the management of autism']	['Current Pharmaceutical Design']	['26']	['(7)']	[',\npp.\n743-754\n']	['2020']	['\n2\n']
['Correlation of Gut Microbiome Between ASD Children and Mothers and Potential Biomarkers for Risk Assessment']	['The Fast Track for Microbiome Research']	['Genomics, Proteomics and Bioinformatics']	['17']	['(1)']	[',\npp.\n1-3\n']	['2019']	['\n1\n']
['Discovery of Novel Androgen Receptor Ligands by Structure-based Virtual Screening and Bioassays']	['Zinc-mediated conformational preselection mechanism in the allosteric control of DNA binding to the zinc transcriptional regulator (ZitR)']	['Scientific Reports']	['10']	['(1)']	[',13276']	['2020']	[]
['Discovery of Novel Androgen Receptor Ligands by Structure-based Virtual Screening and Bioassays']	['Identification of novel inhibitor of protein tyrosine phosphatases delta: structure-based pharmacophore modeling, virtual screening, flexible docking, molecular dynamics simulation, and post-molecular dynamics analysis']	['Journal of Biomolecular Structure and Dynamics']	['38']	['(15)']	[',\npp.\n4432-4448\n']	['2020']	[]
['Discovery of Novel Androgen Receptor Ligands by Structure-based Virtual Screening and Bioassays']	['FWAVina: A novel optimization algorithm for protein-ligand docking based on the fireworks algorithm']	['Computational Biology and Chemistry']	['88']	[',107363']	[]	['2020']	[]
['Discovery of Novel Androgen Receptor Ligands by Structure-based Virtual Screening and Bioassays']	['Integrating Machine Learning-Based Virtual Screening With Multiple Protein Structures and Bio-Assay Evaluation for Discovery of Novel GSK3β Inhibitors']	['Frontiers in Pharmacology']	['11']	[',566058']	[]	['2020']	[]
['Discovery of Novel Androgen Receptor Ligands by Structure-based Virtual Screening and Bioassays']	['Advances in the computational development of androgen receptor antagonists']	['Drug Discovery Today']	['25']	['(8)']	[',\npp.\n1453-1461\n']	['2020']	[]
['Discovery of Novel Androgen Receptor Ligands by Structure-based Virtual Screening and Bioassays']	['Macrophages affect immune inflammation and proliferation in benign prostatic hyperplasia via androgen receptor and CD40/CD40L signaling pathway']	['Tissue and Cell']	['64']	[',101343']	[]	['2020']	['\n1\n']
['Discovery of Novel Androgen Receptor Ligands by Structure-based Virtual Screening and Bioassays']	['Novel androgen receptor antagonist identified by structure-based virtual screening, structural optimization, and biological evaluation']	['European Journal of Medicinal Chemistry']	['192']	[',112156']	[]	['2020']	[]
['Discovery of Novel Androgen Receptor Ligands by Structure-based Virtual Screening and Bioassays']	['A molecularly imprinted whatman paper for clinical detection of propranolol']	['Sensors and Actuators, B: Chemical']	['304']	[',127276']	[]	['2020']	['\n4\n']
['Discovery of Novel Androgen Receptor Ligands by Structure-based Virtual Screening and Bioassays']	['Effective prediction model and determination of binding residues influential for inhibitors targeting HIV-1 integrase-LEDGF/p75 interface by employing solvent accessible surface area energy as key determinant']	['Journal of Biomolecular Structure and Dynamics']	['38']	['(2)']	[',\npp.\n460-473\n']	['2020']	[]
['Discovery of Novel Androgen Receptor Ligands by Structure-based Virtual Screening and Bioassays']	['Investigation of Crystal Structures in Structure-Based Virtual Screening for Protein Kinase Inhibitors']	['Journal of Chemical Information and Modeling']	['59']	['(12)']	[',\npp.\n5244-5262\n']	['2019']	[]
['Discovery of Novel Androgen Receptor Ligands by Structure-based Virtual Screening and Bioassays']	['A magic drug target: Androgen receptor']	['Medicinal Research Reviews']	['39']	['(5)']	[',\npp.\n1485-1514\n']	['2019']	['\n7\n']
['GoldCLIP: Gel-omitted Ligation-dependent CLIP']	['Classification and function of RNA–protein interactions']	['Wiley Interdisciplinary Reviews: RNA']	['11']	['(6)']	[',e1601']	['2020']	[]
['GoldCLIP: Gel-omitted Ligation-dependent CLIP']	['YTHDF2/3 Are Required for Somatic Reprogramming through Different RNA Deadenylation Pathways']	['Cell Reports']	['32']	['(10)']	[',108120']	['2020']	[]
['GoldCLIP: Gel-omitted Ligation-dependent CLIP']	['High-Resolution In Vivo Identification of miRNA Targets by Halo-Enhanced Ago2 Pull-Down']	['Molecular Cell']	['79']	['(1)']	[',\npp.\n167-179.e11\n']	['2020']	[]
['GoldCLIP: Gel-omitted Ligation-dependent CLIP']	['Epitranscriptomic technologies and analyses']	['Science China Life Sciences']	['63']	['(4)']	[',\npp.\n501-515\n']	['2020']	['\n3\n']
['GoldCLIP: Gel-omitted Ligation-dependent CLIP']	['Understanding long noncoding RNA and chromatin interactions: What we know so far']	['Non-coding RNA']	['5']	['(4)']	[',54']	['2019']	['\n10\n']
['GoldCLIP: Gel-omitted Ligation-dependent CLIP']	['A Pandas complex adapted for piRNA-guided transcriptional silencing and heterochromatin formation']	['Nature Cell Biology']	['21']	['(10)']	[',\npp.\n1261-1272\n']	['2019']	['\n7\n']
['GoldCLIP: Gel-omitted Ligation-dependent CLIP']	['Catching a SPY: Using the SpyCatcher-SpyTag and related systems for labeling and localizing bacterial proteins']	['International Journal of Molecular Sciences']	['20']	['(9)']	[',2129']	['2019']	['\n11\n']
['GoldCLIP: Gel-omitted Ligation-dependent CLIP']	['LncRedibly versatile: Biochemical and biological functions of long noncoding RNAs']	['Biochemical Journal']	['476']	['(7)']	[',\npp.\n1083-1104\n']	['2019']	['\n7\n']
['GoldCLIP: Gel-omitted Ligation-dependent CLIP']	['SpyCLIP: An easy-to-use and high-throughput compatible CLIP platform for the characterization of protein-RNA interactions with high accuracy']	['Nucleic Acids Research']	['47']	['(6)']	[',e33']	['2019']	['\n6\n']
['GoldCLIP: Gel-omitted Ligation-dependent CLIP']	['Methods to study RNA–protein interactions']	['Nature Methods']	['16']	['(3)']	[',\npp.\n225-234\n']	['2019']	['\n31\n']
['GoldCLIP: Gel-omitted Ligation-dependent CLIP']	['Genome-wide identification of protein binding sites on RNAs in mammalian cells']	['Biochemical and Biophysical Research Communications']	['508']	['(3)']	[',\npp.\n953-958\n']	['2019']	['\n2\n']
['Rice Genomics: over the Past Two Decades and into the Future']	['Recent advances in molecular research in rice: agronomically important traits']	['International Journal of Molecular Sciences']	['21']	['(17)']	[',5945']	['2020']	[]
['Rice Genomics: over the Past Two Decades and into the Future']	['The high-quality genome of diploid strawberry (Fragaria nilgerrensis) provides new insights into anthocyanin accumulation']	['Plant Biotechnology Journal']	['18']	['(9)']	[',\npp.\n1908-1924\n']	['2020']	['\n3\n']
['Rice Genomics: over the Past Two Decades and into the Future']	['Effect of nitrogen fertilizer, heading date, and pollination speed on the seed production of fifth-generation rice']	['Agronomy Journal']	['112']	['(3)']	[',\npp.\n1564-1572\n']	['2020']	[]
['Rice Genomics: over the Past Two Decades and into the Future']	['The impact of transposable elements on the structure, evolution and function of the rice genome']	['New Phytologist']	['226']	['(1)']	[',\npp.\n44-49\n']	['2020']	['\n6\n']
['Rice Genomics: over the Past Two Decades and into the Future']	['GWAS Atlas: A curated resource of genome-wide variant-trait associations in plants and animals']	['Nucleic Acids Research']	['48']	['(D1)']	[',\npp.\nD927-D932\n']	['2020']	['\n5\n']
['Rice Genomics: over the Past Two Decades and into the Future']	['Location distribution characteristics in leaf lateral asymmetry of hybrid indica rice']	['Phyton']	['89']	['(3)']	[',\npp.\n657-666\n']	['2020']	[]
['Rice Genomics: over the Past Two Decades and into the Future']	['Current status of genomic resources on wild relatives of rice']	['Breeding Science']	['70']	['(2)']	[',\npp.\n135-144\n']	['2020']	[]
['Rice Genomics: over the Past Two Decades and into the Future']	['The potentiality of rice microsatellite markers in assessment of cross-species transferability and genetic diversity of rice and its wild relatives']	['3 Biotech']	['9']	['(6)']	[',217']	['2019']	[]
['Rice Genomics: over the Past Two Decades and into the Future']	['Applications and challenges for efficient exploration of omics interventions for the enhancement of nutritional quality in rice (Oryza sativa L.)']	['Critical Reviews in Food Science and Nutrition']	[]	[]	[]	['2019']	[]
['Rice Genomics: over the Past Two Decades and into the Future']	['A Time for Celebration: 40th Anniversary of GSC and 15th Anniversary of BIG, CAS']	['Genomics, Proteomics and Bioinformatics']	['16']	['(6)']	[',\npp.\n387-388\n']	['2018']	[]
['Development of the “Third-Generation” Hybrid Rice in China']	['Physiological mechanism underlying the effect of high temperature during anthesis on spikelet-opening of photo-thermo-sensitive genic male sterile rice lines']	['Scientific Reports']	['10']	['(1)']	[',2210']	['2020']	['\n2\n']
